Температура,Деформация,Время,Напряжение,Напряжение_цикла,Цикл,Угол_град,d_Д,d_В,Скорость_raw,Скорость,log_Время,T_гом,Угол_штрих
305.25,18.0,347.458,105.798,105,cycle_105,12.96,0.0,0.2330000000000041,0.0,0.5734793547431899,5.853517706438599,0.6199356913183279,18.000000000000004
302.5,18.0,347.69,105.801,105,cycle_105,12.96,0.0,0.2319999999999709,0.0,0.5734793547431899,5.854183275323726,0.6169882100750268,18.000000000000004
307.25,18.0,347.923,105.809,105,cycle_105,12.96,0.0,0.2330000000000041,0.0,0.5734793547431899,5.854851267487473,0.6220793140407288,18.000000000000004
309.75,19.0,348.156,105.809,105,cycle_105,13.68,1.0,0.2330000000000041,4.291845493562156,0.7165408711952618,5.855518813735541,0.6247588424437299,19.0
304.5,19.0,348.388,105.805,105,cycle_105,13.68,0.0,0.2319999999999709,0.0,0.5728627102757387,5.85618305251944,0.6191318327974277,19.0
288.25,19.0,348.621,105.812,105,cycle_105,13.68,0.0,0.2330000000000041,0.0,0.5728627102757387,5.856849710627217,0.6017148981779207,19.0
282.75,19.0,348.854,105.798,105,cycle_105,13.68,0.0,0.2330000000000041,0.0,0.5728627102757387,5.857515924598032,0.5958199356913183,19.0
289.25,19.0,349.086,105.816,105,cycle_105,13.68,0.0,0.2320000000000277,0.0,0.5728627102757387,5.858178838586363,0.6027867095391211,19.0
289.5,20.0,349.319,105.793,105,cycle_105,14.4,1.0,0.2330000000000041,4.291845493562156,0.7159242267278105,5.858844167956071,0.6030546623794212,20.0
277.75,20.0,349.552,105.81,105,cycle_105,14.4,0.0,0.2330000000000041,0.0,0.7159242267278105,5.859509054956913,0.5904608788853162,20.0
275.5,20.0,349.784,105.804,105,cycle_105,14.4,0.0,0.2319999999999709,0.0,0.7159242267278105,5.860170649423651,0.5880493033226152,20.0
279.25,20.0,350.017,105.803,105,cycle_105,14.4,0.0,0.2330000000000041,0.0,0.7159242267278105,5.860834655341456,0.5920685959271168,20.0
282.25,20.0,350.25,105.798,105,cycle_105,14.4,0.0,0.2330000000000041,0.0,0.5728627102757387,5.861498220647955,0.5952840300107181,20.0
278.75,21.0,350.482,105.816,105,cycle_105,15.12,1.0,0.2320000000000277,4.310344827585691,0.7165408711952617,5.8621585008356485,0.5915326902465166,21.0
273.75,21.0,350.715,105.807,105,cycle_105,15.12,0.0,0.2329999999999472,0.0,0.7165408711952617,5.862821188556235,0.5861736334405144,21.0
268.25,21.0,350.948,105.811,105,cycle_105,15.12,0.0,0.2330000000000041,0.0,0.7165408711952617,5.863483437412621,0.5802786709539121,21.0
263.75,21.0,351.18,105.81,105,cycle_105,15.12,0.0,0.2320000000000277,0.0,0.7165408711952617,5.864142408532632,0.5754555198285102,21.0
243.5,21.0,351.413,105.792,105,cycle_105,15.12,0.0,0.2330000000000041,0.0,0.7165408711952617,5.864803783279452,0.5537513397642014,21.0
232.75,22.0,351.646,105.795,105,cycle_105,15.84,1.0,0.2330000000000041,4.291845493562156,0.8596023876473335,5.865464720898806,0.5422293676312969,22.0
229.75,23.0,351.878,105.788,105,cycle_105,16.56,1.0,0.2319999999999709,4.310344827586747,0.8596023876473687,5.866122388131564,0.5390139335476956,23.0
243.25,23.0,352.111,105.823,105,cycle_105,16.56,0.0,0.2330000000000041,0.0,0.8596023876473687,5.866782455097082,0.5534833869239014,23.0
243.5,23.0,352.344,105.799,105,cycle_105,16.56,0.0,0.2330000000000041,0.0,0.8596023876473687,5.86744208666158,0.5537513397642014,23.0
247.75,24.0,352.576,105.809,105,cycle_105,17.28,1.0,0.2320000000000277,4.310344827585691,1.003280548566892,5.868098455156824,0.5583065380493033,24.000000000000004
255.0,24.0,352.809,105.803,105,cycle_105,17.28,0.0,0.2330000000000041,0.0,1.003280548566892,5.868757219502764,0.5660771704180064,24.000000000000004
246.5,24.0,353.042,105.797,105,cycle_105,17.28,0.0,0.2329999999999472,0.0,1.003280548566892,5.86941555016392,0.5569667738478028,24.000000000000004
244.5,24.0,353.274,105.788,105,cycle_105,17.28,0.0,0.2320000000000277,0.0,1.003280548566892,5.870070625040943,0.5548231511254019,24.000000000000004
247.25,26.0,353.507,105.81,105,cycle_105,18.72,2.0,0.2330000000000041,8.583690987124312,1.2894035814710354,5.870728091898528,0.5577706323687031,26.0
248.25,26.0,353.74,105.802,105,cycle_105,18.72,0.0,0.2330000000000041,0.0,1.1463420650189635,5.87138512677744,0.5588424437299035,26.0
253.0,27.0,353.972,105.812,105,cycle_105,19.44,1.0,0.2319999999999709,4.310344827586747,1.290020225938522,5.872038913125322,0.5639335476956056,27.000000000000004
252.0,27.0,354.205,105.805,105,cycle_105,19.44,0.0,0.2330000000000041,0.0,1.290020225938522,5.872695087595518,0.5628617363344052,27.000000000000004
252.5,28.0,354.438,105.792,105,cycle_105,20.16,1.0,0.2330000000000041,4.291845493562156,1.4330817423905935,5.873350831783103,0.5633976420150053,28.0
252.25,28.0,354.67,105.802,105,cycle_105,20.16,0.0,0.2320000000000277,0.0,1.4330817423905935,5.874003334660954,0.5631296891747052,28.0
249.5,28.0,354.903,105.807,105,cycle_105,20.16,0.0,0.2330000000000041,0.0,1.4330817423905935,5.874658221814703,0.560182207931404,28.0
252.5,28.0,355.136,105.819,105,cycle_105,20.16,0.0,0.2330000000000041,0.0,1.290020225938522,5.875312680371935,0.5633976420150053,28.0
325.0,29.0,355.368,105.793,105,cycle_105,20.88,1.0,0.2319999999999709,4.310344827586747,1.4336983868580802,5.875963904809129,0.6411039657020364,29.0
325.25,29.0,355.601,105.801,105,cycle_105,20.88,0.0,0.2330000000000041,0.0,1.4336983868580802,5.876617509687587,0.6413719185423365,29.0
325.25,29.0,355.834,105.81,105,cycle_105,20.88,0.0,0.2330000000000041,0.0,1.4336983868580802,5.87727068764573,0.6413719185423365,29.0
325.5,30.0,356.066,105.79,105,cycle_105,21.6,1.0,0.2319999999999709,4.310344827586747,1.5773765477776385,5.877920638642136,0.6416398713826367,30.000000000000004
326.0,30.0,356.299,105.805,105,cycle_105,21.6,0.0,0.2330000000000041,0.0,1.4343150313255666,5.878572966256906,0.6421757770632368,30.000000000000004
325.75,30.0,356.532,105.792,105,cycle_105,21.6,0.0,0.2330000000000041,0.0,1.4343150313255666,5.879224868617748,0.6419078242229367,30.000000000000004
325.5,31.0,356.764,105.81,105,cycle_105,22.32,1.0,0.2320000000000277,4.310344827585691,1.5779931922450894,5.8798735511439615,0.6416398713826367,31.0
325.5,31.0,356.997,105.796,105,cycle_105,22.32,0.0,0.2330000000000041,0.0,1.5779931922450894,5.880524606477321,0.6416398713826367,31.0
325.5,31.0,357.23,105.817,105,cycle_105,22.32,0.0,0.2330000000000041,0.0,1.5779931922450894,5.881175238213403,0.6416398713826367,31.0
326.0,32.0,357.462,105.803,105,cycle_105,23.04,1.0,0.2319999999999709,4.310344827586747,1.577993192245125,5.881822657210974,0.6421757770632368,32.0
326.0,32.0,357.695,105.778,105,cycle_105,23.04,0.0,0.2330000000000041,0.0,1.577993192245125,5.882472445216106,0.6421757770632368,32.0
326.5,32.0,357.928,105.801,105,cycle_105,23.04,0.0,0.2330000000000041,0.0,1.577993192245125,5.88312181127095,0.642711682743837,32.0
326.75,33.0,358.16,105.821,105,cycle_105,23.76,1.0,0.2320000000000277,4.310344827585691,1.721671353164648,5.883767971652608,0.6429796355841372,33.0
327.25,33.0,358.393,105.803,105,cycle_105,23.76,0.0,0.2329999999999472,0.0,1.721671353164648,5.884416497253826,0.6435155412647374,33.0
327.75,34.0,358.626,105.803,105,cycle_105,24.48,1.0,0.2330000000000041,4.291845493562156,1.721671353164648,5.885064602542159,0.6440514469453376,34.0
328.25,34.0,358.858,105.801,105,cycle_105,24.48,0.0,0.2320000000000277,0.0,1.5779931922450896,5.885709509192038,0.6445873526259378,34.0
328.5,35.0,359.091,105.792,105,cycle_105,25.2,1.0,0.2330000000000041,4.291845493562156,1.7210547086971617,5.886356777285014,0.6448553054662379,35.0
330.0,35.0,359.324,105.817,105,cycle_105,25.2,0.0,0.2330000000000041,0.0,1.7210547086971617,5.887003626692992,0.6464630225080386,35.0
330.0,36.0,359.556,105.867,105,cycle_105,25.92,1.0,0.2319999999999709,4.310344827586747,1.7210547086971966,5.88764728446685,0.6464630225080386,36.00000000000001
330.5,36.0,359.789,105.777,105,cycle_105,25.92,0.0,0.2330000000000041,0.0,1.7210547086971966,5.888293299918828,0.6469989281886388,36.00000000000001
331.5,36.0,360.022,105.827,105,cycle_105,25.92,0.0,0.2330000000000041,0.0,1.7210547086971966,5.888938898304258,0.6480707395498392,36.00000000000001
331.75,37.0,360.254,105.826,105,cycle_105,26.64,1.0,0.2320000000000277,4.310344827585691,1.86473286961672,5.8895813120297005,0.6483386923901393,37.0
331.5,37.0,360.487,105.816,105,cycle_105,26.64,0.0,0.2330000000000041,0.0,1.578609836712576,5.890226079679722,0.6480707395498392,37.0
331.75,38.0,360.72,105.783,105,cycle_105,27.36,1.0,0.2330000000000041,4.291845493562156,1.721671353164648,5.89087043187228,0.6483386923901393,38.0
332.0,38.0,360.952,105.773,105,cycle_105,27.36,0.0,0.2319999999999709,0.0,1.5779931922450894,5.8915116063489705,0.6486066452304394,38.0
332.0,39.0,361.185,105.812,105,cycle_105,28.08,1.0,0.2330000000000041,4.291845493562156,1.7210547086971613,5.892155131008091,0.6486066452304394,39.0
331.75,39.0,361.418,105.76,105,cycle_105,28.08,0.0,0.2330000000000041,0.0,1.5779931922450894,5.892798241809539,0.6483386923901393,39.0
331.75,40.0,361.65,105.718,105,cycle_105,28.8,1.0,0.2319999999999709,4.310344827586747,1.7216713531646477,5.8934381818094215,0.6483386923901393,40.0
331.75,41.0,361.883,105.89,105,cycle_105,29.52,1.0,0.2330000000000041,4.291845493562156,1.86473286961672,5.894080468260927,0.6483386923901393,41.0
332.75,41.0,362.116,105.763,105,cycle_105,29.52,0.0,0.2330000000000041,0.0,1.86473286961672,5.894722342445325,0.6494105037513397,41.0
333.0,42.0,362.348,105.777,105,cycle_105,30.24,1.0,0.2320000000000277,4.310344827585691,1.8647328696166845,5.895361052712833,0.6496784565916398,42.0
333.75,42.0,362.581,105.84,105,cycle_105,30.24,0.0,0.2330000000000041,0.0,1.8647328696166845,5.89600210571245,0.6504823151125402,42.0
333.75,42.0,362.814,105.758,105,cycle_105,30.24,0.0,0.2330000000000041,0.0,1.8647328696166845,5.896642748026375,0.6504823151125402,42.0
335.5,43.0,363.046,105.942,105,cycle_105,30.96,1.0,0.2319999999999709,4.310344827586747,1.8647328696166845,5.89728023327864,0.6523579849946409,43.0
336.25,43.0,363.279,105.725,105,cycle_105,30.96,0.0,0.2330000000000041,0.0,1.8647328696166845,5.8979200575547495,0.6531618435155412,43.0
336.75,44.0,363.512,105.942,105,cycle_105,31.68,1.0,0.2330000000000041,4.291845493562156,2.0077943860687566,5.898559472717501,0.6536977491961414,44.0
337.5,44.0,363.744,105.701,105,cycle_105,31.68,0.0,0.2320000000000277,0.0,1.8641162251492327,5.899195737644569,0.6545016077170418,44.0
337.75,45.0,363.977,105.858,105,cycle_105,32.4,1.0,0.2329999999999472,4.291845493563203,2.0071777416013403,5.899834337898414,0.6547695605573419,45.0
338.75,46.0,364.21,105.787,105,cycle_105,33.12,1.0,0.2330000000000041,4.291845493562156,2.150239258053412,5.900472530602224,0.6558413719185423,46.0
338.25,46.0,364.442,105.796,105,cycle_105,33.12,0.0,0.2320000000000277,0.0,2.006561097133854,5.901107579867256,0.6553054662379421,46.0
339.25,47.0,364.675,105.845,105,cycle_105,33.84,1.0,0.2330000000000041,4.291845493562156,2.149622613585925,5.9017449607731525,0.6563772775991426,47.00000000000001
339.0,47.0,364.908,105.743,105,cycle_105,33.84,0.0,0.2330000000000041,0.0,2.149622613585925,5.9023819356833895,0.6561093247588424,47.00000000000001
339.25,48.0,365.14,105.905,105,cycle_105,34.56,1.0,0.2319999999999709,4.310344827586747,2.1496226135859606,5.903015773922869,0.6563772775991426,48.00000000000001
339.75,49.0,365.373,105.812,105,cycle_105,35.28,1.0,0.2330000000000041,4.291845493562156,2.2926841300380327,5.903651940128405,0.6569131832797428,49.0
340.0,49.0,365.606,105.814,105,cycle_105,35.28,0.0,0.2330000000000041,0.0,2.149622613585961,5.904287701883784,0.6571811361200428,49.0
339.75,50.0,365.838,105.794,105,cycle_105,36.0,1.0,0.2320000000000277,4.310344827585691,2.293300774505484,5.904920333707721,0.6569131832797428,50.0
340.25,50.0,366.071,105.787,105,cycle_105,36.0,0.0,0.2330000000000041,0.0,2.150239258053412,5.905555289833966,0.6574490889603429,50.0
341.25,51.0,366.304,105.885,105,cycle_105,36.72,1.0,0.2329999999999472,4.291845493563203,2.2933007745055187,5.906189843046747,0.6585209003215434,51.0
341.5,52.0,366.536,105.81,105,cycle_105,37.44,1.0,0.2320000000000277,4.310344827585691,2.293300774505483,5.906821273038878,0.6587888531618435,52.0
341.75,52.0,366.769,105.851,105,cycle_105,37.44,0.0,0.2330000000000041,0.0,2.293300774505483,5.90745502368058,0.6590568060021436,52.0
343.5,53.0,367.002,105.84,105,cycle_105,38.16,1.0,0.2330000000000041,4.291845493562156,2.436362290957556,5.908088372936772,0.6609324758842443,53.0
344.0,54.0,367.234,105.751,105,cycle_105,38.88,1.0,0.2319999999999709,4.310344827586747,2.4363622909575904,5.908718605654756,0.6614683815648446,54.00000000000001
344.75,54.0,367.467,105.879,105,cycle_105,38.88,0.0,0.2330000000000041,0.0,2.4363622909575904,5.909351155380544,0.6622722400857449,54.00000000000001
