Температура,Деформация,Время,Напряжение,Угол_град,d_Деформация,d_Время,Скорость_деф
56.5,0.0,104.746,44.5188,0.0,0.0,0.23299999999998988,0.0
56.5,0.0,104.979,44.5155,0.0,0.0,0.2330000000000041,0.0
56.0,0.0,105.211,44.5222,0.0,0.0,0.23199999999999932,0.0
57.0,0.0,105.444,44.5215,0.0,0.0,0.2330000000000041,0.0
57.0,0.0,105.677,44.5231,0.0,0.0,0.2330000000000041,0.0
57.25,0.0,105.909,44.5135,0.0,0.0,0.23199999999999932,0.0
57.25,0.0,106.142,44.5225,0.0,0.0,0.23299999999998988,0.0
57.75,0.0,106.375,44.516,0.0,0.0,0.2330000000000041,0.0
57.75,0.0,106.607,44.5154,0.0,0.0,0.23199999999999932,0.0
58.0,0.0,106.84,44.522,0.0,0.0,0.2330000000000041,0.0
57.75,0.0,107.073,44.5224,0.0,0.0,0.23299999999998988,0.0
58.0,0.0,107.305,44.52,0.0,0.0,0.23200000000001353,0.0
58.5,0.0,107.538,44.5173,0.0,0.0,0.23299999999998988,0.0
58.25,0.0,107.771,44.523,0.0,0.0,0.2330000000000041,0.0
58.75,0.0,108.003,44.5165,0.0,0.0,0.23199999999999932,0.0
59.0,0.0,108.236,44.5143,0.0,0.0,0.2330000000000041,0.0
59.25,0.0,108.469,44.5207,0.0,0.0,0.23299999999998988,0.0
59.0,0.0,108.701,44.5212,0.0,0.0,0.23199999999999932,0.0
59.5,0.0,108.934,44.5164,0.0,0.0,0.2330000000000041,0.0
59.25,0.0,109.167,44.5159,0.0,0.0,0.2330000000000041,0.0
60.0,0.0,109.399,44.5198,0.0,0.0,0.23199999999999932,0.0
59.5,0.0,109.632,44.5203,0.0,0.0,0.2330000000000041,0.0
60.0,0.0,109.865,44.5197,0.0,0.0,0.23299999999998988,0.0
60.25,0.0,110.097,44.5197,0.0,0.0,0.23199999999999932,0.0
60.5,0.0,110.33,44.5158,0.0,0.0,0.2330000000000041,0.0
60.75,0.0,110.563,44.5176,0.0,0.0,0.2330000000000041,0.0
60.75,0.0,110.795,44.5184,0.0,0.0,0.23199999999999932,0.0
61.0,0.0,111.028,44.5257,0.0,0.0,0.2330000000000041,0.0
61.5,0.0,111.261,44.5193,0.0,0.0,0.23299999999998988,0.0
61.25,0.0,111.493,44.5148,0.0,0.0,0.23199999999999932,0.0
61.25,0.0,111.726,44.5153,0.0,0.0,0.2330000000000041,0.0
61.25,0.0,111.959,44.5192,0.0,0.0,0.2330000000000041,0.0
61.75,0.0,112.191,44.5208,0.0,0.0,0.23199999999999932,0.0
61.75,0.0,112.424,44.5217,0.0,0.0,0.2330000000000041,0.0
62.25,0.0,112.657,44.5234,0.0,0.0,0.23299999999998988,0.0
61.5,0.0,112.889,44.5219,0.0,0.0,0.23199999999999932,0.0
62.25,0.0,113.122,44.5146,0.0,0.0,0.2330000000000041,0.0
62.5,0.0,113.355,44.524,0.0,0.0,0.2330000000000041,0.0
63.0,0.0,113.587,44.5203,0.0,0.0,0.23199999999999932,0.0
62.75,0.0,113.82,44.5185,0.0,0.0,0.23299999999998988,0.0
62.75,0.0,114.053,44.5188,0.0,0.0,0.2330000000000041,0.0
63.5,0.0,114.285,44.5158,0.0,0.0,0.23199999999999932,0.0
63.75,0.0,114.518,44.5224,0.0,0.0,0.2330000000000041,0.0
63.75,0.0,114.751,44.5175,0.0,0.0,0.2330000000000041,0.0
63.5,0.0,114.983,44.5178,0.0,0.0,0.23199999999999932,0.0
64.25,0.0,115.216,44.5211,0.0,0.0,0.23299999999998988,0.0
64.25,0.0,115.449,44.5173,0.0,0.0,0.2330000000000041,0.0
64.25,0.0,115.681,44.5194,0.0,0.0,0.23199999999999932,0.0
64.5,0.0,115.914,44.5165,0.0,0.0,0.2330000000000041,0.0
64.75,0.0,116.147,44.5221,0.0,0.0,0.2330000000000041,0.0
65.0,0.0,116.379,44.5218,0.0,0.0,0.23199999999999932,0.0
65.25,0.0,116.612,44.518,0.0,0.0,0.23299999999998988,0.0
65.25,0.0,116.845,44.5215,0.0,0.0,0.2330000000000041,0.0
65.75,0.0,117.077,44.5186,0.0,0.0,0.23199999999999932,0.0
65.75,0.0,117.31,44.5163,0.0,0.0,0.2330000000000041,0.0
66.5,0.0,117.543,44.5156,0.0,0.0,0.2330000000000041,0.0
67.0,0.0,117.775,44.5162,0.0,0.0,0.23199999999999932,0.0
67.5,0.0,118.008,44.5172,0.0,0.0,0.23299999999998988,0.0
67.75,0.0,118.241,44.5228,0.0,0.0,0.2330000000000041,0.0
67.25,0.0,118.473,44.5197,0.0,0.0,0.23199999999999932,0.0
67.75,0.0,118.706,44.5198,0.0,0.0,0.2330000000000041,0.0
67.5,0.0,118.939,44.5216,0.0,0.0,0.23299999999998988,0.0
68.25,0.0,119.171,44.5203,0.0,0.0,0.23200000000001353,0.0
68.0,0.0,119.404,44.5187,0.0,0.0,0.23299999999998988,0.0
68.5,0.0,119.637,44.5192,0.0,0.0,0.2330000000000041,0.0
68.5,0.0,119.869,44.5202,0.0,0.0,0.23199999999999932,0.0
68.75,0.0,120.102,44.5187,0.0,0.0,0.2330000000000041,0.0
68.5,0.0,120.335,44.5185,0.0,0.0,0.23299999999998988,0.0
68.75,0.0,120.567,44.5169,0.0,0.0,0.23199999999999932,0.0
69.5,0.0,120.8,44.5153,0.0,0.0,0.2330000000000041,0.0
70.25,0.0,121.033,44.5217,0.0,0.0,0.2330000000000041,0.0
70.0,0.0,121.265,44.5119,0.0,0.0,0.23199999999999932,0.0
72.25,0.0,121.498,44.5182,0.0,0.0,0.2330000000000041,0.0
72.5,0.0,121.731,44.5173,0.0,0.0,0.23299999999998988,0.0
73.75,0.0,121.963,44.5243,0.0,0.0,0.23199999999999932,0.0
72.25,0.0,122.196,44.5207,0.0,0.0,0.2330000000000041,0.0
72.25,0.0,122.429,44.5214,0.0,0.0,0.2330000000000041,0.0
72.25,0.0,122.661,44.5197,0.0,0.0,0.23199999999999932,0.0
72.25,0.0,122.894,44.5152,0.0,0.0,0.2330000000000041,0.0
